,Genre Code,Release Year,Artist Gender,Artist Age,Signal Magnitude,Spectral Centroid,Spectral Flux,MFCC,Tempo,Pitch,Intensity
BOBBY_꽐라,15,2016,0,23,0.457896,2675.562617,1.432226188,5.073580199,99.38401442,31.6391,0.333444
Breakbot_My Toy,35,2016,0,37,0.285401,2192.339126,1.786008242,2.021607636,123.046875,16.0462,0.272624
Brian McKnight_Better,42,2016,0,49,0.211396,2160.424025,1.30726721,5.307093348,95.703125,4.59144,0.245021
Brian McKnight_Uh Oh Feeling,42,2016,0,49,0.216263,2197.28268,1.364231659,6.593023363,95.703125,5.04827,0.276783
Britney Spears & Iggy Azalea_Pretty Girls,3,2015,1,28,0.253492,2891.842888,1.805243605,1.974890681,103.359375,33.0032,0.209997
Bruno Mars_24K Magic,13,2016,0,33,0.292115,2721.09488,1.698878949,4.261987455,107.6660156,27.744,0.252322
Bruno Mars_Versace On The Floor,13,2016,0,33,0.254885,2299.990182,1.53717663,1.653700285,172.265625,14.334,0.198204
C Jamm & 레디 (Reddy)_현상수배 (Wanted),15,2016,0,25,0.332527,2051.639857,1.528312596,2.504252344,143.5546875,18.3855,0.26065
Calexico_Falling From The Sky,131,2015,0,50,0.384657,1935.444291,1.031468556,5.3224885,135.9991776,19.3074,0.239192
Calvin Harris & Disciples_How Deep Is Your Love,52,2015,0,34,0.329356,2616.817334,1.716801225,2.345595948,123.046875,29.9673,0.285622
Calvin Harris_This Is What You Came For (Feat Rihanna),35,2016,0,34,0.467237,2682.742708,1.445619332,3.532743957,123.046875,23.0608,0.31719
Campsite Dream_Lean On,35,2016,1,28,0.361937,2028.504816,1.469451482,0.885219236,99.38401442,17.5874,0.254124
Carly Rae Jepsen_All That,13,2015,1,33,0.299207,1903.139172,1.2252809,4.726482297,161.4990234,11.5775,0.253373
Carly Rae Jepsen_I Really Like You,13,2015,1,33,0.335911,2899.292571,1.292263104,4.202119298,123.046875,27.7946,0.260703
Carly Rae Jepsen_Last Christmas,3,2015,1,33,0.342386,2672.083514,1.341133412,-2.946010625,107.6660156,34.2484,0.191751
Cash Cash_Aftershock (Feat Jacquie Lee),35,2016,0,33,0.466479,2649.336805,1.253575887,5.661412554,129.1992188,26.231,0.313544
Cash Cash_How To Love (Feat Sofia Reyes),112,2016,0,33,0.435905,2423.043546,1.394400743,3.991476495,161.4990234,27.9144,0.301168
Charli XCX_Doing It (Feat Rita Ora),3,2015,1,26,0.607664,2636.685649,1.278664123,6.159786402,107.6660156,42.8643,0.324051
Charlie Puth & Wiz Khalifa_See You Again (폴 워커 추모 엔딩곡),24,2015,0,27,0.184901,1969.650873,1.370751593,0.901599073,161.4990234,7.85535,0.213101
Charlie Puth_As You Are (Feat Shy Carter),13,2016,0,27,0.242871,1984.442598,1.554617193,4.681154869,112.3471467,10.5942,0.250107
Charlie Puth_Dangerously,13,2016,0,27,0.210899,2214.544602,1.307814995,1.899641209,112.3471467,11.5559,0.184422
Charlie Puth_Left Right Left,13,2016,0,27,0.340625,1999.714114,1.341045021,2.574093394,99.38401442,13.3912,0.285426
Charlie Puth_Losing My Mind,13,2016,0,27,0.193906,1502.888828,1.345971984,-1.797901112,99.38401442,6.25183,0.22597
Charlie Puth_Marvin Gaye (Feat Meghan Trainor),13,2016,0,27,0.299406,2207.034841,1.492056759,3.280272977,107.6660156,12.9589,0.247994
Charlie Puth_My Gospel,13,2016,0,27,0.234739,2081.146501,1.568940936,5.516051098,112.3471467,7.68494,0.273191
Charlie Puth_One Call Away,13,2016,0,27,0.281139,1939.136784,1.267754769,0.536025655,92.28515625,13.8876,0.2089
Charlie Puth_Some Type Of Love,13,2016,0,27,0.216166,2253.581414,1.41864035,0.331977215,92.28515625,12.473,0.247629
